Description WordNo valence ValSD Arousal ArousalSD Dominance DominanceSd Frequency
mantel 864 4.93 1.40 3.27 2.23 4.95 1.61 3
manure 865 3.10 1.74 4.17 2.09 4.67 1.36 6
market 866 5.66 1.02 4.12 1.83 5.27 1.40 155
massacre 867 2.28 1.74 5.33 2.63 3.50 2.26 1
masterful 271 7.09 1.78 5.20 2.85 7.18 2.56 2
masturbate 599 5.45 2.02 5.67 2.18 5.63 2.25 .
material 868 5.26 1.29 4.05 2.34 5.12 1.45 174
measles 272 2.74 1.97 5.06 2.44 4.13 2.16 2
medicine 869 5.67 2.06 4.40 2.36 4.70 1.91 30
meek 273 3.87 1.69 3.80 2.13 3.67 2.23 10
melody 870 7.07 1.79 4.98 2.52 5.46 1.78 21
memories 871 7.48 1.61 6.10 2.10 5.88 1.92 15
memory 274 6.62 1.50 5.42 2.25 5.11 2.12 76
menace 275 2.88 1.64 5.52 2.45 4.98 2.25 9
merry 872 7.90 1.49 5.90 2.42 6.64 1.66 8
messy 873 3.15 1.73 3.34 2.37 4.75 2.15 3
metal 874 4.95 1.17 3.79 1.96 5.38 1.40 61
method 875 5.56 1.76 3.85 2.58 5.67 1.58 142
mighty 276 6.54 2.19 5.61 2.38 7.23 2.11 29
mildew 277 3.17 1.36 4.08 1.79 4.40 1.79 1
milk 876 5.95 2.16 3.68 2.57 5.83 1.50 49
millionaire 278 8.03 1.42 6.14 2.70 6.97 2.40 2
mind 877 6.68 1.84 5.00 2.68 6.37 2.19 325
miracle 279 8.60 0.71 7.65 1.67 5.35 2.58 16
mischief 878 5.57 2.05 5.76 1.95 5.56 1.88 5
misery 879 1.93 1.60 5.17 2.69 2.55 1.45 15
mistake 880 2.86 1.79 5.18 2.42 3.86 2.42 34
mobility 881 6.83 1.79 5.00 2.18 6.43 1.48 8
modest 280 5.76 1.28 3.98 2.24 4.96 2.16 29
mold 882 3.55 1.70 4.07 1.98 4.33 1.83 45
moment 281 5.76 1.65 3.83 2.29 4.81 1.92 246
money 282 7.59 1.40 5.70 2.66 6.25 2.33 265
month 283 5.15 1.09 4.03 1.77 4.85 1.14 130
moody 883 3.20 1.58 4.18 2.38 4.39 1.71 5
moral 884 6.20 1.85 4.49 2.28 5.90 2.20 142
morbid 284 2.87 2.14 5.06 2.68 4.34 2.50 1
morgue 285 1.92 1.32 4.84 2.96 3.61 1.94 1
mosquito 885 2.80 1.91 4.78 2.72 4.51 2.15 1
mother 286 8.39 1.15 6.13 2.71 5.74 2.37 216
mountain 287 6.59 1.66 5.49 2.43 5.46 2.36 33
movie 288 6.86 1.81 4.93 2.54 5.00 1.79 29
mucus 886 3.34 2.29 3.41 2.17 4.80 1.83 2
muddy 887 4.44 2.07 4.13 2.13 4.73 1.77 10
muffin 888 6.57 2.04 4.76 2.42 5.51 1.63 .
murderer 289 1.53 0.96 7.47 2.18 3.77 3.06 19
muscular 290 6.82 1.63 5.47 2.20 6.58 2.28 16
museum 889 5.54 1.86 3.60 2.13 5.32 1.68 32
mushroom 567 5.78 2.22 4.72 2.33 5.52 2.10 2
music 291 8.13 1.09 5.32 3.19 6.39 2.44 216
mutation 890 3.91 2.44 4.84 2.52 4.07 2.10 .
dentist 589 4.02 2.23 5.73 2.13 3.80 2.16 12
depressed 107 1.83 1.42 4.72 2.95 2.74 2.13 11
depression 108 1.85 1.67 4.54 3.19 2.91 2.27 24
derelict 722 4.28 1.84 4.10 1.94 4.78 1.56 1
deserter 109 2.45 1.80 5.50 2.55 3.77 2.29 .
desire 508 7.69 1.39 7.35 1.76 6.49 1.83 79
despairing 110 2.43 1.47 5.68 2.37 3.43 2.11 4
despise 111 2.03 1.38 6.28 2.43 4.72 2.80 7
destroy 112 2.64 2.03 6.83 2.38 4.94 2.86 48
destruction 723 3.16 2.44 5.82 2.71 3.93 2.29 38
detached 113 3.86 1.88 4.26 2.57 3.63 2.15 12
detail 724 5.55 1.58 4.10 2.24 5.21 1.60 72
detest 114 2.17 1.30 6.06 2.39 5.83 2.60 1
devil 115 2.21 1.99 6.07 2.61 5.35 2.75 25
devoted 116 7.41 1.37 5.23 2.21 6.18 2.36 51
diamond 117 7.92 1.20 5.53 2.96 5.54 2.28 8
dignified 118 7.10 1.26 4.12 2.29 6.12 2.40 7
dinner 509 7.16 1.50 5.43 2.14 6.10 1.87 91
diploma 119 8.00 1.39 5.67 2.80 6.76 2.50 .
dirt 725 4.17 1.77 3.76 2.26 4.83 1.82 43
dirty 590 3.08 2.05 4.88 2.29 4.70 2.12 36
disappoint 120 2.39 1.44 4.92 2.64 3.29 2.32 .
disaster 121 1.73 1.13 6.33 2.70 3.52 2.42 26
discomfort 726 2.19 1.23 4.17 2.44 3.86 2.26 7
discouraged 122 3.00 2.16 4.53 2.11 3.61 2.01 15
disdainful 123 3.68 1.90 5.04 2.14 4.55 1.92 2
disgusted 124 2.45 1.41 5.42 2.59 4.34 1.94 6
disloyal 125 1.93 1.61 6.56 2.21 3.79 2.75 2
displeased 126 2.79 2.23 5.64 2.48 4.19 2.19 7
distressed 127 1.94 1.10 6.40 2.38 3.76 2.41 4
disturb 727 3.66 2.00 5.80 2.39 4.55 1.90 10
diver 510 6.45 1.55 5.04 2.10 5.04 1.91 1
divorce 128 2.22 1.88 6.33 2.71 3.26 2.24 29
doctor 129 5.20 2.54 5.86 2.70 4.89 2.75 100
dog 511 7.57 1.66 5.76 2.50 6.25 2.10 75
doll 728 6.09 1.96 4.24 2.43 4.61 2.07 10
dollar 729 7.47 1.72 6.07 2.67 6.33 2.42 46
door 130 5.13 1.44 3.80 2.29 4.69 1.72 312
dove 730 6.90 1.54 3.79 2.28 5.48 1.70 4
infatuation 516 6.73 2.08 7.02 1.87 4.90 2.28 4
infection 228 1.66 1.34 5.03 2.77 3.61 2.64 8
inferior 812 3.07 1.57 3.83 2.05 2.78 2.08 7
inhabitant 813 5.05 1.34 3.95 1.97 5.37 1.43 .
injury 595 2.49 1.76 5.69 2.06 3.57 1.62 27
ink 229 5.05 0.81 3.84 1.88 4.61 2.13 7
innocent 814 6.51 1.34 4.21 1.99 5.28 2.08 37
insane 815 2.85 1.94 5.83 2.45 4.12 2.23 13
insect 816 4.07 2.16 4.07 2.46 4.56 2.47 14
insecure 230 2.36 1.33 5.56 2.34 2.33 1.95 3
insolent 231 4.35 1.76 5.38 2.37 4.50 2.06 2
inspire 232 6.97 1.91 5.00 2.53 6.34 2.11 3
inspired 233 7.15 1.85 6.02 2.67 6.67 2.31 25
insult 817 2.29 1.33 6.00 2.46 3.62 2.05 7
intellect 818 6.82 1.96 4.75 2.50 6.30 1.98 5
intercourse 819 7.36 1.57 7.00 2.07 6.40 1.78 9
interest 234 6.97 1.53 5.66 2.26 5.88 1.78 330
intimate 821 7.61 1.51 6.98 2.21 5.86 2.29 21
intruder 822 2.77 2.32 6.86 2.41 4.00 2.68 1
invader 823 3.05 2.01 5.50 2.40 4.00 2.60 1
invest 824 5.93 2.10 5.12 2.42 5.88 1.95 3
iron 565 4.90 1.02 3.76 2.06 5.10 1.27 43
irritate 235 3.11 1.67 5.76 2.15 5.03 2.05 .
item 825 5.26 0.86 3.24 2.08 5.26 1.67 54
jail 236 1.95 1.27 5.49 2.67 3.81 2.71 21
jealousy 237 2.51 1.83 6.36 2.66 3.80 2.41 4
jelly 238 5.66 1.44 3.70 2.29 4.53 1.77 3
jewel 239 7.00 1.72 5.38 2.54 5.59 2.19 1
joke 826 8.10 1.36 6.74 1.84 6.15 1.86 22
jolly 827 7.41 1.92 5.57 2.80 6.39 1.72 4
journal 828 5.14 1.49 4.05 1.96 5.26 1.42 42
joy 240 8.60 0.71 7.22 2.13 6.28 2.15 40
joyful 241 8.22 1.22 5.98 2.54 6.60 1.80 1
jug 829 5.24 1.65 3.88 2.15 5.05 1.62 6
justice 242 7.78 1.35 5.47 2.54 6.47 2.26 114
kerchief 830 5.11 1.33 3.43 2.08 5.25 1.28 1
kerosene 243 4.80 1.59 4.34 2.51 4.63 1.99 6
ketchup 831 5.60 1.35 4.09 2.08 5.29 1.81 1
